STATUS | wrapper  | 2013/12/18 23:51:55 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/05/19 02:31:15 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/05/19 02:31:15 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/05/19 02:31:15 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/05/19 02:31:15 | 
STATUS | wrapper  | 2014/05/19 02:31:16 | Launching a JVM...
INFO   | jvm 1    | 2014/05/19 02:31:23 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/05/20 18:23:04 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/05/20 18:23:04 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/05/20 18:23:04 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/05/20 18:23:04 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/05/20 18:23:04 | 
STATUS | wrapper  | 2014/05/20 18:23:04 | Launching a JVM...
INFO   | jvm 1    | 2014/05/20 18:23:10 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/05/25 20:52:56 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/05/25 20:52:56 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/05/25 20:52:56 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/05/25 20:52:56 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/05/25 20:52:56 | 
STATUS | wrapper  | 2014/05/25 20:52:56 | Launching a JVM...
INFO   | jvm 1    | 2014/05/25 20:53:04 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/05/27 18:51:20 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/05/27 18:51:20 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/05/27 18:51:20 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/05/27 18:51:20 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/05/27 18:51:20 | 
STATUS | wrapper  | 2014/05/27 18:51:20 | Launching a JVM...
INFO   | jvm 1    | 2014/05/27 18:51:22 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/05/27 18:51:24 | [2014-05-27 18:51:24,017][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
STATUS | wrapper  | 2014/05/27 19:17:36 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2014/05/27 19:17:38 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/05/27 19:17:43 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/05/27 19:17:43 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/05/27 19:17:43 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/05/27 19:17:43 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/05/27 19:17:43 | 
STATUS | wrapper  | 2014/05/27 19:17:44 | Launching a JVM...
INFO   | jvm 1    | 2014/05/27 19:17:44 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/05/27 19:17:45 | [2014-05-27 19:17:45,725][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
STATUS | wrapper  | 2014/05/27 19:20:16 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2014/05/27 19:20:18 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/05/27 19:21:11 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/05/27 19:21:11 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/05/27 19:21:11 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/05/27 19:21:11 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/05/27 19:21:11 | 
STATUS | wrapper  | 2014/05/27 19:21:11 | Launching a JVM...
INFO   | jvm 1    | 2014/05/27 19:21:12 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/05/27 19:21:13 | [2014-05-27 19:21:12,951][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
STATUS | wrapper  | 2014/05/28 20:52:29 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2014/05/28 20:52:33 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/05/28 20:53:53 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/05/28 20:53:53 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/05/28 20:53:53 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/05/28 20:53:53 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/05/28 20:53:53 | 
STATUS | wrapper  | 2014/05/28 20:53:54 | Launching a JVM...
INFO   | jvm 1    | 2014/05/28 20:53:55 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/05/28 20:53:57 | [2014-05-28 20:53:57,064][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
STATUS | wrapper  | 2014/05/28 23:37:06 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2014/05/28 23:37:10 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/05/28 23:38:25 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/05/28 23:38:25 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/05/28 23:38:25 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/05/28 23:38:25 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/05/28 23:38:25 | 
STATUS | wrapper  | 2014/05/28 23:38:25 | Launching a JVM...
INFO   | jvm 1    | 2014/05/28 23:38:26 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/05/28 23:38:28 | [2014-05-28 23:38:27,941][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
STATUS | wrapper  | 2014/05/30 11:35:11 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2014/05/30 11:35:27 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/05/30 11:36:50 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/05/30 11:36:50 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/05/30 11:36:50 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/05/30 11:36:50 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/05/30 11:36:50 | 
STATUS | wrapper  | 2014/05/30 11:36:51 | Launching a JVM...
INFO   | jvm 1    | 2014/05/30 11:36:59 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/05/30 11:37:21 | [2014-05-30 11:37:21,738][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
INFO   | wrapper  | 2014/06/03 09:58:21 | The timer fell behind the system clock by 325703600ms.
STATUS | wrapper  | 2014/06/03 14:16:11 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/06/03 14:16:11 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/06/03 14:16:11 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/03 14:16:11 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/03 14:16:11 | 
STATUS | wrapper  | 2014/06/03 14:16:11 | Launching a JVM...
INFO   | jvm 1    | 2014/06/03 14:16:12 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/03 14:16:13 | [2014-06-03 14:16:13,079][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
STATUS | wrapper  | 2014/06/04 08:52:04 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/06/04 08:52:04 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/06/04 08:52:04 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/04 08:52:04 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/04 08:52:04 | 
STATUS | wrapper  | 2014/06/04 08:52:05 | Launching a JVM...
INFO   | jvm 1    | 2014/06/04 08:52:08 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/06/04 09:26:21 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/06/04 09:26:21 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/06/04 09:26:21 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/04 09:26:21 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/04 09:26:21 | 
STATUS | wrapper  | 2014/06/04 09:26:22 | Launching a JVM...
INFO   | jvm 1    | 2014/06/04 09:26:25 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/06/04 22:26:47 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/06/04 22:26:47 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/06/04 22:26:47 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/04 22:26:47 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/04 22:26:47 | 
STATUS | wrapper  | 2014/06/04 22:26:53 | Launching a JVM...
INFO   | jvm 1    | 2014/06/04 22:26:58 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/06/05 20:33:18 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/06/05 20:33:18 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/06/05 20:33:18 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/05 20:33:18 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/05 20:33:18 | 
STATUS | wrapper  | 2014/06/05 20:33:18 | Launching a JVM...
INFO   | jvm 1    | 2014/06/05 20:33:29 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/06/05 20:39:03 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/06/05 20:39:03 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/06/05 20:39:03 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/05 20:39:03 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/05 20:39:03 | 
STATUS | wrapper  | 2014/06/05 20:39:03 | Launching a JVM...
INFO   | jvm 1    | 2014/06/05 20:39:05 | WrapperManager: Initializing...
INFO   | wrapper  | 2014/06/08 22:43:53 | The timer fell behind the system clock by 194651600ms.
STATUS | wrapper  | 2014/06/09 19:42:46 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/06/09 19:42:46 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/06/09 19:42:46 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/09 19:42:46 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/09 19:42:46 | 
STATUS | wrapper  | 2014/06/09 19:42:46 | Launching a JVM...
INFO   | jvm 1    | 2014/06/09 19:42:47 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/06/10 00:50:48 | TERM trapped.  Shutting down.
ERROR  | wrapper  | 2014/06/10 00:51:07 | Shutdown failed: Timed out waiting for the JVM to terminate.
ERROR  | wrapper  | 2014/06/10 00:51:08 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/06/10 00:51:08 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/10 00:51:45 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/06/10 00:51:45 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/06/10 00:51:45 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/10 00:51:45 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/10 00:51:45 | 
STATUS | wrapper  | 2014/06/10 00:51:45 | Launching a JVM...
INFO   | jvm 1    | 2014/06/10 00:51:46 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/06/16 17:14:15 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/06/16 17:14:15 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/06/16 17:14:15 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/16 17:14:15 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/16 17:14:15 | 
STATUS | wrapper  | 2014/06/16 17:14:16 | Launching a JVM...
INFO   | jvm 1    | 2014/06/16 17:14:18 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/06/17 08:45:37 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/06/17 08:45:37 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/06/17 08:45:37 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/17 08:45:37 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/17 08:45:37 | 
STATUS | wrapper  | 2014/06/17 08:45:37 | Launching a JVM...
INFO   | jvm 1    | 2014/06/17 08:45:38 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/06/19 12:53:36 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/06/19 12:53:36 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/06/19 12:53:36 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/19 12:53:36 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/19 12:53:36 | 
STATUS | wrapper  | 2014/06/19 12:53:36 | Launching a JVM...
INFO   | jvm 1    | 2014/06/19 12:53:38 | WrapperManager: Initializing...
